﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:2M6tHJVrNXZta3Hsjbi70z","Only Yesterday","Pretty Lights","Only Yesterday","1","1","375426","spotify:user:yaydevally","2016-11-04T14:28:10Z"
"spotify:track:6iuoVDk4ywSZXBIgHMhggg","What Does Your Soul Look Like - Pt. 1 / Prince Paul Remix","DJ Shadow, Prince Paul","Endtroducing (Endtroducing Re-Emagined)","1","11","220819","spotify:user:yaydevally","2016-11-04T14:28:10Z"
"spotify:track:6RjhP4XhaDu8rPrgO6pCQ8","For My Better Half","Stimming","Alpe Lusia","1","6","428160","spotify:user:yaydevally","2016-11-04T14:27:46Z"
"spotify:track:6CkIKkafORmB2rcKahUA4l","Harmonisch Serie","Max Cooper","Harmonisch Serie","1","1","533343","spotify:user:yaydevally","2016-11-04T14:27:46Z"
"spotify:track:6koWevx9MqN6efQ6qreIbm","A Walk","Tycho","Dive","1","1","316919","spotify:user:yaydevally","2016-11-04T14:27:46Z"
"spotify:track:2HHAxkrJbuWZ7JWdxYbsWO","Peacock Tail","Boards of Canada","The Campfire Headphase","1","4","324906","spotify:user:yaydevally","2016-11-04T14:27:46Z"
"spotify:track:5zxuMu1ytdB77KjJjiMDCT","Snowcone","deadmau5","Snowcone","1","1","314422","spotify:user:yaydevally","2016-11-04T14:27:46Z"
"spotify:track:37WaRvUdhksv1AL5I7RB6k","Cloud Generator","Kink","Cloud Generator EP","1","1","430030","spotify:user:yaydevally","2016-11-04T14:27:46Z"
"spotify:track:0ulpEf72J4jtttVWhm63OY","Lunar - Original Mix","Jeremy Olander","Hanover EP","1","2","450491","spotify:user:yaydevally","2016-11-04T14:27:46Z"
"spotify:track:2AkFFLcVLifVGFDOtMaKZl","Today","ODESZA","Summer's Gone","1","6","255165","spotify:user:yaydevally","2016-11-04T14:27:46Z"
"spotify:track:1EWdfIPZrY5F25hwOH4O33","Anima Mundi (feat. Russ Liquid)","Gramatik, Russ Liquid","Epigram","1","10","220875","spotify:user:yaydevally","2016-11-04T14:27:46Z"
"spotify:track:4F2pzdUZ9w02TgfVIYD0eB","About Time","Zuper","Blend","1","1","115224","spotify:user:yaydevally","2016-11-04T14:27:46Z"
"spotify:track:1ZOd9cvaPwhcxUNEZzZhnX","Coiled Corner (Feat. Bijou)","Feverkin","Coiled Corner (Feat. Bijou)","1","1","221538","spotify:user:yaydevally","2016-11-04T14:27:46Z"
"spotify:track:4G0XihX4opEiqDkxhQfiDW","Still Can't Fall","Feverkin, Nori","From Your Window","1","2","217991","spotify:user:yaydevally","2016-11-04T14:27:46Z"
"spotify:track:2GTyxyI3tI89JfqcjwGGHo","I Lost a Friend","Motion Picture Actress","Natural Ghost","1","1","240500","spotify:user:yaydevally","2016-11-04T14:27:46Z"
